author,author-pid,paper,conference,year,title,Faculty,Position,Gender,Management,Area
A. S. Madhukumar,66/549,conf/vtc/TanMSK20a,VTC-Fall,2020,Mitigating Cellular Interference in Uplink UAV Communications.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/access/TanMSK19,,2019,A Power Series Approach for Hybrid-Duplex UAV Communication Systems Under Rician Shadowed Fading.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/access/SharmaMR19,,2019,Effect of Pointing Errors on the Performance of Hybrid FSO/RF Networks.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/dsp/RamabadranM19,,2019,Blind parameter estimation of turbo convolutional codes: Noisy and non-synchronized scenario.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/icl/SiriginaMB19,,2019,BER Analysis of Interference-Limited Synchronous Wireless Networks With Line-of-Sight Links.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/icl/TanMSK19,,2019,Hybrid-Duplex Communications for Multi-UAV Networks: An Outage Probability Analysis.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/iet-spr/RamabadranMWT19,,2019,Blind recognition of LDPC code parameters over erroneous channel conditions.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/tvt/TanMSK19,,2019,A Hybrid-Duplex System With Joint Detection for Interference-Limited UAV Communications.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/twc/TanMSK19,,2019,Outage Analysis and Finite SNR Diversity-Multiplexing Tradeoff of Hybrid-Duplex Systems for Aeronautical Communications.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/winet/RoyMC19,,2019,Resource allocation in multicell systems with coordinated beamforming and partial data cooperation: a study on the effect of cooperation on achievable performance.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/wpc/RaoMS19,,2019,Limited Feedback Assisted Dynamic Decode-and-Forward Relaying for Multiple Access Relay Channel.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/apcc/SharmaMS19,APCC,2019,Asymptotic Analysis of Switching-Based Hybrid FSO/RF System with DF-Relaying.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/icc/SiriginaMB19,ICC,2019,Precoder Design for Dual Satellite System with Joint Decoding.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/iscas/MathewVM19,ISCAS,2019,A Cyclic Prefix Assisted Spectrum Sensing Method for Aeronautical Communication Systems.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/vtc/SiriginaMB19,VTC Spring,2019,NOMA Precoding for Cognitive Overlay Dual Satellite Systems.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/vtc/TanMSK19,VTC-Fall,2019,Downlink NOMA in Multi-UAV Networks over Bivariate Rician Shadowed Fading Channels.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/wcnc/TanMSK19,WCNC,2019,An Outage Probability Analysis of Full-Duplex NOMA in UAV Communications.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/corr/abs-1902-06869,,2019,Downlink NOMA in Multi-UAV Networks over Bivariate Rician Shadowed Fading Channels.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/corr/abs-1909-02194,,2019,An Outage Probability Analysis of Full-Duplex NOMA in UAV Communications.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/access/RaoMS18,,2018,RF Energy Harvesting Based Multiple Access Relay Systems: A DMT Perspective.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/sj/SiriginaM18,,2018,Interference Cancellation Through Interference Forwarding in Relay-Assisted Systems.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/tbc/RamabadranMWT18,,2018,Blind Reconstruction of Reed-Solomon Encoder and Interleavers Over Noisy Environment.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/tvlsi/PhamVM18,,2018,A Hardware-Efficient Synchronization in L-DACS1 for Aeronautical Communications.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/winet/SiriginaM18,,2018,On the diversity gain region of the dynamic decode-and-forward relay-assisted Z-channel.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/globecom/RaoMS18,GLOBECOM Workshops,2018,On Wireless Energy Harvesting Based Relaying for Interference-Limited User: A DMT Perspective.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/globecom/SharmaTMR18,GLOBECOM,2018,Switching-Based Transmit Antenna/Aperture Selection in a MISO Hybrid FSO/RF System.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/isita/RamabadranMWT18,ISITA,2018,Joint Reconstruction of Reed-Solomon Encoder and Convolutional Interleaver in a Noisy Environment.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/vtc/TanMSK18,VTC-Fall,2018,Hybrid-Duplex Systems for UAV Communications Under Rician Shadowed Fading.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/vtc/TanSKM18,VTC Spring,2018,On the Performance Analysis of Hybrid-Duplex Systems for Aeronautical Communications.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/wcnc/AmbedeSM18,WCNC,2018,Adaptive filter based blind residual self-interference cancellation in full-duplex MIMO transceivers.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/wcnc/SharmaMS18,WCNC,2018,Switching-based hybrid FSO/RF transmission for DF relaying system.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/access/RamabadranMTS17,,2017,Parameter Estimation of Convolutional and Helical Interleavers in a Noisy Environment.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/cssp/SiriginaMV17,,2017,Diversity Gain Region of Nakagami-m Faded Z-Channel.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/dsp/SwaminathanMNS17,,2017,Parameter estimation of block and helical scan interleavers in the presence of bit errors.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/dsp/JamesM17,,2017,Enhanced coverage through relay assisted carrier aggregation for cellular networks.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/icl/RaoSM17,,2017,On the DMT of RF Energy Harvesting-Based Dynamic Decode-and-Forward Relaying.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/tbc/RamabadranM17,,2017,Classification of Error Correcting Codes and Estimation of Interleaver Parameters in a Noisy Transmission Environment.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/tvt/RoyMJ17,,2017,On Joint Pareto Frontier in Multiple Access and Relay Rate Regions With Rayleigh Fading.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/winet/SiriginaM17,,2017,Interference mitigation in Z-channel and relay-assisted Z-channel: a diversity gain region perspective.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/globecom/SharmaMRS17,GLOBECOM Workshops,2017,Performance Analysis of Hybrid FSO/RF Transmission for DF Relaying System.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/vtc/RoyMC17,VTC Spring,2017,Subspace Based Interference Cancellation in Cooperative Multicell Transmission.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/vtc/SiriginaM17,VTC Spring,2017,On Partial Interference Cancellation with Partial Interference Forwarding.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/vtc/SwaminathanMWT17,VTC-Fall,2017,Parameter Identification of Reed-Solomon Codes over Noisy Environment.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/wpmc/RaoMS17,WPMC,2017,RF energy harvesting based relays: Non-orthogonal AF Vs dynamic DF.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/corr/abs-1712-07781,,2017,On the Outage Analysis and Finite SNR Diversity-Multiplexing Tradeoff of Hybrid-Duplex Systems for Aeronautical Communications.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/access/JacobSMP16,,2016,Cognitive Radio for Aeronautical Communications: A Survey.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/tcom/SiriginaM16,,2016,Full-Duplex Decode-and-Forward Relay-Assisted Interference Management: A Diversity Gain Region Perspective.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/tvt/NguyenMN16,,2016,Stackelberg Bayesian Game for Power Allocation in Two-Tier Networks.,A S Madhukumar,Associate Professor,M,N,Computer Networks
Dusit Niyato,76/440,journals/tvt/NguyenMN16,,2016,Stackelberg Bayesian Game for Power Allocation in Two-Tier Networks.,Dusit Niyato,Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/twc/SiriginaM16,,2016,On the Symbol Error Rate and Diversity Gain Region of the Relay-Assisted Z-channel.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/winet/JacobM16,,2016,Handling interference in self-organizing femtocell networks through frequency-polarization diversity.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/pimrc/SwaminathanM16,PIMRC,2016,Joint recognition of error correcting codes and interleaver parameters in a robust environment.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/wcnc/RoyMC16a,WCNC,2016,Centralised and distributed interference management in coordinated downlink beam-forming.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/wcnc/RoyMC16,WCNC Workshops,2016,Centralised and distributed interference management in coordinated downlink beam-forming.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/wpmc/SiriginaM16,WPMC,2016,Asymmetric interference channel: Single-user codes vs multi-user codes.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/comcom/JacobMA15,,2015,Orthogonal circular polarized transmission for interference control in femto-macro networks.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/tbc/SharmaM15,,2015,Genetic Algorithm Aided Proportional Fair Resource Allocation in Multicast OFDM Systems.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/wicomm/JamesMA15,,2015,Efficient multihop transmission scheme for error-free relay forwarding in cooperative networks.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/winet/RoyM15,,2015,Characterising the Pareto frontier of multiple access rate region: a study on the effect of decoding order on achievable performance.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/winet/JacobJM15,,2015,Interference mitigation through reverse frequency allocation in multi-tier cellular network: a downlink perspective.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/newcas/DhabuVM15,NEWCAS,2015,Low complexity fast filter bank-based channelization in L-DACS1 for aeronautical communications.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/vtc/JacobMV15,VTC Spring,2015,Cross-Polarized Complementary Frequency Allocation in Femto-Macro Networks.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/vtc/SiriginaM15,VTC Spring,2015,DMT for the Relay Assisted Interference Cancellation over Nakagami-m Fading Channel.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/vtc/SiriginaM15a,VTC Spring,2015,On the Diversity Gain Region for the Relay Assisted Interference Management.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/iet-spr/NguyenM14,,2014,Spectrum trading in cognitive radio networks with uncertainty in primary service requirements.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/wicomm/NguyenM14,,2014,Non-cooperative power control and spectrum allocation in cognitive radio networks: a game theoretic perspective.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/icc/JamesM14,ICC Workshops,2014,Performance limits of rateless codes in delay constrained multihop relay networks.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/iccoms/JacobM14,ICCS,2014,Enhanced energy efficiency through self-organizing femto-relay framework.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/iccoms/JamesM14,ICCS,2014,Enhanced packet delivery in delay limited rateless coded multihop networks.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/vtc/JamesM14,VTC Spring,2014,Practical Limits of Rateless Codes in Multihop Relay Networks.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/vtc/RoyM14,VTC Fall,2014,Resource Allocation Strategy in Multiple Access Interference Channel.,A S Madhukumar,Associate Professor,M,N,Computer Networks
Dusit Niyato,76/440,conf/wcnc/DiazSMNM14,WCNC,2014,Strategic device-to-device communications in backhaul-constrained wireless small cell networks.,Dusit Niyato,Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/wcnc/DiazSMNM14,WCNC,2014,Strategic device-to-device communications in backhaul-constrained wireless small cell networks.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/icl/JacobMA13,,2013,Interference Mitigation through Cross Polarized Transmission in Femto-Macro Network.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/phycomm/NarendarVMK13,,2013,A tree-structured DFT filter bank based spectrum detector for estimation of radio channel edge frequencies in cognitive radios.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/tcom/JamesMKA13,,2013,Spectrally Efficient Packet Recovery in Delay Constrained Rateless Coded Multihop Networks.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/tvt/JamesMKA13,,2013,Performance Analysis of Fountain Codes in Multihop Relay Networks.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/wpc/JamesMTK13,,2013,Impact of Implicit Feedback Channel in Cooperative Relay Networks.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/pimrc/JamesMA13,PIMRC,2013,Spectrally efficient error free relay forwarding in cooperative multihop networks.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/vtc/JacobMA13,VTC Fall,2013,Cross-Polarized Transmission for Interference Avoidance in Femto-Macro Network.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/ieicet/JamesMA12,,2012,Throughput Optimization in Rateless Coded Cooperative Relay Networks.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/iet-com/JacobM12,,2012,Interference reduction through femto-relays.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/jcm/YangMYWGM12,,2012,Guest Editorial.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/phycomm/TioJM12,,2012,ISTBC: A spectrally efficient distributed transmission scheme using incremental redundancy with space-time block coding.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/sigpro/HariAPM12,,2012,Design and performance analysis of a signal detector based on suprathreshold stochastic resonance.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/icassp/ZhongPM12,ICASSP,2012,A random finite set approach for tracking time-varying number of acoustic sources using a single acoustic vector sensor.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/iccoms/JamesMT12,ICCS,2012,Incremental space-time block codes with error protection for cooperative relay networks.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/iccoms/JacobJM12,ICCS,2012,Downlink capacity improvement and interference reduction through Reverse Frequency Allocation.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/iccoms/ManjuPM12,ICCS,2012,A study on the performance of multifilter bank based Cognitive Radio transceiver for multi-user applications.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/iccoms/NarendarVMK12,ICCS,2012,A robust two-stage spectrum sensing method using filter bank based energy detector and fourth order cumulants for cognitive radios.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/wcnc/SiriginaML12,WCNC,2012,Performance analysis of Z-channel with relay under Rayleigh fading and discrete constellations.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/wcnc/JamesMA12,WCNC,2012,Adaptive rateless coding with feedback for cooperative relay networks.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/cssp/NguyenTM11,,2011,A Cooperative Spectrum Sensing Technique with Dynamic Frequency Boundary Detection and Information-Entropy-Fusion for Primary User Detection.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/dsp/PhamPNM11,,2011,Preprocessing for analog signal conversion using novel number system.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/tcom/PhamPM11,,2011,Error Detection and Correction in Communication Channels Using Inverse Gray RSNS Codes.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/tvt/JamesMTK11,,2011,Throughput Optimization in Cooperative Communications Based on Incremental Relaying.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/vlsisp/KurniawanMC11,,2011,Low Complexity Antenna Selection Scheme for Multicarrier MIMO Broadcast Communication.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/wpc/MajhiMPXR11,,2011,Enhancing Data Rates of TH-UWB Systems Using M-ary OPPM-BPSM Modulation Scheme: A System Perspective.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/IEEEicics/ZhongPM11,ICICS,2011,Direction of arrival tracking in impulsive noise using particle filtering with fractional lower order moment likelihood.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/eusipco/ZhongPM11,EUSIPCO,2011,Particle filtering for 2-D direction of arrival tracking using an acoustic vector sensor.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/icmcs/ZhongPML11,ICME,2011,Multi-modality likelihood based particle filtering for 2-D direction of arrival tracking using a single acoustic vector sensor.,A S Madhukumar,Associate Professor,M,N,Computer Networks
Chiew Tong Lau,30/6609,conf/icmcs/ZhongPML11,ICME,2011,Multi-modality likelihood based particle filtering for 2-D direction of arrival tracking using a single acoustic vector sensor.,Lau Chiew Tong,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/pimrc/JacobM11,PIMRC,2011,Femto-relays: A power efficient coverage extension mechanism for femtocells.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/vtc/JamesMKT11,VTC Spring,2011,Effects of Delay Constraints on Multihop Networks Using Rateless Codes.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/wcnc/JamesMKT11,WCNC,2011,Implicit feedback assisted outage minimization for cooperative relay networks.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/iet-cds/PhamPM10,,2010,Reduced complexity analogue-to-residue conversion employing folding number system.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/twc/DharmaMPA10,,2010,Estimation of CSI for LST BS-CDMA systems using special sequences with pre-defined spectral nulls.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/twc/KurniawanMC10,,2010,Performance analysis of distributed transmission schemes in cooperative random networks.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/icassp/PhamPM10,ICASSP,2010,A novel approach for preprocessing analog signal using number theoretic transform.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/ict/NarendarVMK10,ICT,2010,An algorithm for spectrum sensing in cognitive radio using tree-structured filter bank.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/isspa/NarendarVMK10,ISSPA,2010,A tree-structured DFT filter bank based spectrum sensor for estimation of radio channel edge frequencies in military wideband receivers.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/pimrc/JamesMDK10,PIMRC,2010,Incremental code relaying in a location aware wireless relay network.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/pimrc/SiriginaDM10,PIMRC,2010,SLAR: A smart regenerative cooperative protocol with improved power and spectral efficiency.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/vtc/JamesMKD10,VTC Fall,2010,Spectrally Efficient Cooperative Scheme with Implicit Feedback Assisted Transmission.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/vtc/MajhiMNH10,VTC Spring,2010,Power Spectral Analysis of Orthogonal Pulse-Based TH-UWB Signals.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/vtc/NguyenMDN10,VTC Fall,2010,"Cognitive Radios in Cooperative Environment: Detection, Sensing and Clustering of Spectral Bands.",A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/dsp/MadhukumarYCP09,,2009,Decision feedback data detection in frequency domain for single carrier cyclic prefix assisted CDMA systems: A sequential quadratic programming approach.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/iet-com/PengMCT09,,2009,Block spreading CDMA system: a simplified scheme using despreading before equalisation for broadband uplink transmission.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/twc/JakopMP09,,2009,A robust symmetrical number system based parallel communication system with inherent error detection and correction.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/globecom/PhamPM09,GLOBECOM,2009,Design of Low Hardware Complexity Filter Banks for Communications Systems Employing Folding Number System.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/icc/KurniawanMC09,ICC,2009,Low Complexity Antenna Selection Scheme for Multiuser MIMO Broadcast Systems.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/icc/PhamPM09,ICC,2009,Efficient Sample Rate Conversion in Software Radio Employing Folding Number System.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/vtc/JamesKM09,VTC Fall,2009,Incremental Code Relaying Protocol for Cooperative Communications.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/vtc/KurniawanMC09,VTC Spring,2009,Heuristic Antenna Selection Algorithm for Multiuser Multi-Antenna Downlink.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/ejwcn/MajhiMPR08,,2008,Combining OOK with PSM Modulation for Simple Transceiver of Orthogonal Pulse-Based TH-UWB Systems.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/icl/PengTCM08,,2008,Novel interference cancellation methods for BS-CDMA in uplink broadband mobile communication systems.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/twc/LiuPM08,,2008,Pulse shaping functions for UWK systems.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/twc/DharmaMP08,,2008,MIMO Block Spread CDMA Systems for Broadband Wireless Communications.,A S Madhukumar,Associate Professor,M,N,Computer Networks
