author,author-pid,paper,top_venue_count,co-author-pid,total_weight,weight,closeness_centrality,normalized_degree_centrality,year
Junghoon Kim,50/5995,conf/sigmod/KimGFCKC20,1,140/7434,5,1,0.26152667318413614,5.301046426564604e-05,2020.0
Junghoon Kim,50/5995,conf/sigmod/KimGFCKC20,1,115/9072,5,1,0.26152667318413614,5.301046426564604e-05,2020.0
Junghoon Kim,50/5995,conf/sigmod/KimGFCKC20,1,33/3180,5,1,0.26152667318413614,5.301046426564604e-05,2020.0
Junghoon Kim,50/5995,conf/sigmod/KimGFCKC20,1,67/2933,5,1,0.26152667318413614,5.301046426564604e-05,2020.0
Tao Guo,43/56,conf/sigmod/KimGFCKC20,5,50/5995,37,1,0.26763648162669335,0.00039227743556578067,2020.0
Tao Guo,43/56,journals/corr/abs-1709-09287,5,140/7434,37,6,0.26763648162669335,0.00039227743556578067,2017.0
Tao Guo,43/56,conf/sigmod/KimGFCKC20,5,115/9072,37,1,0.26763648162669335,0.00039227743556578067,2020.0
Tao Guo,43/56,conf/sigmod/GuoCC15,5,33/3180,37,10,0.26763648162669335,0.00039227743556578067,2015.0
Tao Guo,43/56,conf/sigmod/KimGFCKC20,5,67/2933,37,1,0.26763648162669335,0.00039227743556578067,2020.0
Kaiyu Feng,140/7434,conf/sigmod/KimGFCKC20,4,50/5995,51,1,0.3016579300256004,0.0005407067355095896,2020.0
Kaiyu Feng,140/7434,journals/corr/abs-1709-09287,4,43/56,51,6,0.3016579300256004,0.0005407067355095896,2017.0
Kaiyu Feng,140/7434,conf/sigmod/KimGFCKC20,4,115/9072,51,1,0.3016579300256004,0.0005407067355095896,2020.0
Kaiyu Feng,140/7434,conf/sigmod/FengCBM14,4,33/3180,51,13,0.3016579300256004,0.0005407067355095896,2014.0
Kaiyu Feng,140/7434,conf/sigmod/KimGFCKC20,4,67/2933,51,1,0.3016579300256004,0.0005407067355095896,2020.0
Farhana Murtaza Choudhury,115/9072,conf/sigmod/KimGFCKC20,1,50/5995,5,1,0.26152667318413614,5.301046426564604e-05,2020.0
Farhana Murtaza Choudhury,115/9072,conf/sigmod/KimGFCKC20,1,43/56,5,1,0.26152667318413614,5.301046426564604e-05,2020.0
Farhana Murtaza Choudhury,115/9072,conf/sigmod/KimGFCKC20,1,140/7434,5,1,0.26152667318413614,5.301046426564604e-05,2020.0
Farhana Murtaza Choudhury,115/9072,conf/sigmod/KimGFCKC20,1,33/3180,5,1,0.26152667318413614,5.301046426564604e-05,2020.0
Farhana Murtaza Choudhury,115/9072,conf/sigmod/KimGFCKC20,1,67/2933,5,1,0.26152667318413614,5.301046426564604e-05,2020.0
Xiangyu Ke,194/2946,journals/corr/abs-1904-05300,1,239/4843,16,2,0.2612781458701792,0.00016963348565006731,2019.0
Xiangyu Ke,194/2946,journals/corr/YalavarthiKK17,1,67/2933,16,7,0.2612781458701792,0.00016963348565006731,2017.0
Francesco Bonchi,b/FBonchi,journals/corr/abs-1904-07262,1,163/9777,18,2,0.2568974019569675,0.00019083767135632575,2019.0
Francesco Bonchi,b/FBonchi,conf/edbt/KhanBGG14,1,67/2933,18,7,0.2568974019569675,0.00019083767135632575,2014.0
Lorenzo Severini,163/9777,journals/corr/abs-1904-07262,1,b/FBonchi,4,2,0.22534890604011565,4.240837141251683e-05,2019.0
Lorenzo Severini,163/9777,journals/corr/abs-1904-07262,1,67/2933,4,2,0.22534890604011565,4.240837141251683e-05,2019.0
Xiangyu Ke,194/2946,journals/corr/abs-1903-08587,1,87/5931,16,1,0.2612781458701792,0.00016963348565006731,2019.0
Xiangyu Ke,194/2946,journals/corr/abs-1903-08587,1,238/0393,16,1,0.2612781458701792,0.00016963348565006731,2019.0
Lei Chen 0002,c/LeiChen0002,series/synthesis/2018Khan2,1,33/6315,41,1,0.27903698691926027,0.00043468580697829753,2018.0
Lei Chen 0002,c/LeiChen0002,journals/pvldb/KhanC15,1,67/2933,41,2,0.27903698691926027,0.00043468580697829753,2015.0
Xiangyu Ke,194/2946,journals/pvldb/KeTKY18,1,25/1477,16,1,0.2612781458701792,0.00016963348565006731,2018.0
Xiangyu Ke,194/2946,journals/corr/YalavarthiKK17,1,182/3227,16,3,0.2612781458701792,0.00016963348565006731,2017.0
Francesco Bonchi,b/FBonchi,conf/edbt/KhanBGG14,1,63/3664,18,4,0.2568974019569675,0.00019083767135632575,2014.0
Francesco Bonchi,b/FBonchi,journals/corr/KhanBGN16,1,185/1134,18,2,0.2568974019569675,0.00019083767135632575,2016.0
Siyuan Liu,00/4516,conf/bigdataconf/LiuK18,1,67/2933,122,1,0.3309039850227333,0.0012934553280817634,2018.0
Shanshan Feng,149/1281,conf/icde/FengCKLLC18,1,152/8201,40,1,0.3100974341301419,0.0004240837141251683,2018.0
Shanshan Feng,149/1281,conf/icde/FengCKLLC18,1,29/4867,40,1,0.3100974341301419,0.0004240837141251683,2018.0
Shanshan Feng,149/1281,conf/aaai/FengCCZCX14,1,c/YeowMengChee,40,4,0.3100974341301419,0.0004240837141251683,2014.0
Shanshan Feng,149/1281,conf/aaai/FengCCZCX14,1,33/3180,40,8,0.3100974341301419,0.0004240837141251683,2014.0
Shanshan Feng,149/1281,conf/icde/FengCKLLC18,1,67/2933,40,1,0.3100974341301419,0.0004240837141251683,2018.0
Xiucheng Li,152/8201,conf/icde/FengCKLLC18,1,149/1281,17,1,0.2764881700606162,0.00018023557850319654,2018.0
Xiucheng Li,152/8201,conf/icde/FengCKLLC18,1,29/4867,17,1,0.2764881700606162,0.00018023557850319654,2018.0
Xiucheng Li,152/8201,conf/icde/FengCKLLC18,1,c/YeowMengChee,17,1,0.2764881700606162,0.00018023557850319654,2018.0
Xiucheng Li,152/8201,conf/kdd/LiCCC17,1,33/3180,17,5,0.2764881700606162,0.00018023557850319654,2017.0
Xiucheng Li,152/8201,conf/icde/FengCKLLC18,1,67/2933,17,1,0.2764881700606162,0.00018023557850319654,2018.0
Xiangyu Ke,194/2946,conf/sigmod/KeKC18,1,33/3180,16,1,0.2612781458701792,0.00016963348565006731,2018.0
Donald Kossmann,k/DonaldKossmann,journals/corr/KhanSK16,1,190/7057,9,2,0.22536429872495448,9.541883567816287e-05,2016.0
Donald Kossmann,k/DonaldKossmann,conf/sigmod/KhanYDK14,1,67/2933,9,4,0.22536429872495448,9.541883567816287e-05,2014.0
Francesco Bonchi,b/FBonchi,journals/pvldb/KhanBB17,1,b/SSBhowmick,18,1,0.2568974019569675,0.00019083767135632575,2017.0
Donald Kossmann,k/DonaldKossmann,conf/icde/KhanZK16,1,181/9110,9,1,0.22536429872495448,9.541883567816287e-05,2016.0
Chengkai Li,14/3692,journals/corr/JayaramKLYE13,1,137/7959,25,5,0.2576597683196668,0.0002650523213282302,2013.0
Chengkai Li,14/3692,journals/corr/JayaramKLYE13,1,y/XifengYan,25,5,0.2576597683196668,0.0002650523213282302,2013.0
Chengkai Li,14/3692,journals/corr/JayaramKLYE13,1,e/RamezElmasri,25,5,0.2576597683196668,0.0002650523213282302,2013.0
Chengkai Li,14/3692,journals/corr/JayaramKLYE13,1,67/2933,25,5,0.2576597683196668,0.0002650523213282302,2013.0
Xifeng Yan,y/XifengYan,journals/corr/JayaramKLYE13,3,137/7959,44,5,0.24140874612814323,0.00046649208553768516,2013.0
Xifeng Yan,y/XifengYan,journals/corr/JayaramKLYE13,3,14/3692,44,5,0.24140874612814323,0.00046649208553768516,2013.0
Xifeng Yan,y/XifengYan,journals/corr/JayaramKLYE13,3,e/RamezElmasri,44,5,0.24140874612814323,0.00046649208553768516,2013.0
Xifeng Yan,y/XifengYan,conf/sigmod/KhanYW10,3,67/2933,44,13,0.24140874612814323,0.00046649208553768516,2010.0
Pratanu Roy,27/10432,conf/sigmod/RoyKA16,1,a/GustavoAlonso,2,1,0.22534890604011565,2.1204185706258414e-05,2016.0
Pratanu Roy,27/10432,conf/sigmod/RoyKA16,1,67/2933,2,1,0.22534890604011565,2.1204185706258414e-05,2016.0
Gustavo Alonso,a/GustavoAlonso,conf/sigmod/RoyKA16,1,27/10432,2,1,0.22534890604011565,2.1204185706258414e-05,2016.0
Gustavo Alonso,a/GustavoAlonso,conf/sigmod/RoyKA16,1,67/2933,2,1,0.22534890604011565,2.1204185706258414e-05,2016.0
Francesco Bonchi,b/FBonchi,conf/cikm/KhanGWB15,1,169/1809,18,1,0.2568974019569675,0.00019083767135632575,2015.0
Francesco Bonchi,b/FBonchi,conf/edbt/KhanBGG14,1,g/AristidesGionis,18,1,0.2568974019569675,0.00019083767135632575,2014.0
Chengkai Li,14/3692,conf/icde/JayaramGKLYE14,1,92/9574,25,1,0.2576597683196668,0.0002650523213282302,2014.0
Xifeng Yan,y/XifengYan,conf/icde/JayaramGKLYE14,3,92/9574,44,1,0.24140874612814323,0.00046649208553768516,2014.0
Pouya Yanki,147/1261,conf/sigmod/KhanYDK14,1,147/1238,3,1,0.22535403670142526,3.180627855938762e-05,2014.0
Pouya Yanki,147/1261,conf/sigmod/KhanYDK14,1,k/DonaldKossmann,3,1,0.22535403670142526,3.180627855938762e-05,2014.0
Pouya Yanki,147/1261,conf/sigmod/KhanYDK14,1,67/2933,3,1,0.22535403670142526,3.180627855938762e-05,2014.0
Bojana Dimcheva,147/1238,conf/sigmod/KhanYDK14,1,147/1261,3,1,0.22535403670142526,3.180627855938762e-05,2014.0
Bojana Dimcheva,147/1238,conf/sigmod/KhanYDK14,1,k/DonaldKossmann,3,1,0.22535403670142526,3.180627855938762e-05,2014.0
Bojana Dimcheva,147/1238,conf/sigmod/KhanYDK14,1,67/2933,3,1,0.22535403670142526,3.180627855938762e-05,2014.0
Donald Kossmann,k/DonaldKossmann,conf/sigmod/KhanYDK14,1,147/1261,9,1,0.22536429872495448,9.541883567816287e-05,2014.0
Donald Kossmann,k/DonaldKossmann,conf/sigmod/KhanYDK14,1,147/1238,9,1,0.22536429872495448,9.541883567816287e-05,2014.0
Xifeng Yan,y/XifengYan,conf/icde/KhanWY12,3,32/6122,44,2,0.24140874612814323,0.00046649208553768516,2012.0
Xifeng Yan,y/XifengYan,conf/sdm/AggarwalKY11,3,a/CharuCAggarwal,44,2,0.24140874612814323,0.00046649208553768516,2011.0
Nan Li,84/3795,conf/sigmod/KhanLYGCT11,1,y/XifengYan,44,2,0.2638551968650868,0.00046649208553768516,2011.0
Nan Li,84/3795,conf/cikm/LiYWK12,1,53/5888,44,1,0.2638551968650868,0.00046649208553768516,2012.0
Nan Li,84/3795,conf/sigmod/KhanLYGCT11,1,67/2933,44,2,0.2638551968650868,0.00046649208553768516,2011.0
Xifeng Yan,y/XifengYan,conf/sigmod/KhanLYGCT11,3,84/3795,44,2,0.24140874612814323,0.00046649208553768516,2011.0
Xifeng Yan,y/XifengYan,conf/cikm/LiYWK12,3,53/5888,44,1,0.24140874612814323,0.00046649208553768516,2012.0
Xifeng Yan,y/XifengYan,conf/sigmod/KhanLYGCT11,3,64/4055,44,2,0.24140874612814323,0.00046649208553768516,2011.0
Xifeng Yan,y/XifengYan,conf/noms/KhanYTA12,3,a/NikosAnerousis,44,1,0.24140874612814323,0.00046649208553768516,2012.0
Shu Tao,64/4055,conf/sigmod/KhanLYGCT11,1,y/XifengYan,8,2,0.23281194872397978,8.481674282503366e-05,2011.0
Shu Tao,64/4055,conf/noms/KhanYTA12,1,a/NikosAnerousis,8,1,0.23281194872397978,8.481674282503366e-05,2012.0
Shu Tao,64/4055,conf/sigmod/KhanLYGCT11,1,67/2933,8,2,0.23281194872397978,8.481674282503366e-05,2011.0
Shengqi Yang,1054031,conf/sigmod/YangYZK12,1,y/XifengYan,3,1,0.22535403670142526,3.180627855938762e-05,2012.0
Shengqi Yang,1054031,conf/sigmod/YangYZK12,1,14/8203,3,1,0.22535403670142526,3.180627855938762e-05,2012.0
Shengqi Yang,1054031,conf/sigmod/YangYZK12,1,67/2933,3,1,0.22535403670142526,3.180627855938762e-05,2012.0
Xifeng Yan,y/XifengYan,conf/sigmod/YangYZK12,3,1054031,44,1,0.24140874612814323,0.00046649208553768516,2012.0
Xifeng Yan,y/XifengYan,conf/sigmod/YangYZK12,3,14/8203,44,1,0.24140874612814323,0.00046649208553768516,2012.0
Bo Zong,14/8203,conf/sigmod/YangYZK12,1,1054031,3,1,0.22535403670142526,3.180627855938762e-05,2012.0
Bo Zong,14/8203,conf/sigmod/YangYZK12,1,y/XifengYan,3,1,0.22535403670142526,3.180627855938762e-05,2012.0
Bo Zong,14/8203,conf/sigmod/YangYZK12,1,67/2933,3,1,0.22535403670142526,3.180627855938762e-05,2012.0
Nan Li,84/3795,conf/sigmod/KhanLYGCT11,1,43/6970,44,1,0.2638551968650868,0.00046649208553768516,2011.0
Nan Li,84/3795,conf/sigmod/KhanLYGCT11,1,14/7588,44,1,0.2638551968650868,0.00046649208553768516,2011.0
Nan Li,84/3795,conf/sigmod/KhanLYGCT11,1,64/4055,44,1,0.2638551968650868,0.00046649208553768516,2011.0
Xifeng Yan,y/XifengYan,conf/sigmod/KhanLYGCT11,3,43/6970,44,1,0.24140874612814323,0.00046649208553768516,2011.0
Xifeng Yan,y/XifengYan,conf/sigmod/KhanLYGCT11,3,14/7588,44,1,0.24140874612814323,0.00046649208553768516,2011.0
Ziyu Guan,43/6970,conf/sigmod/KhanLYGCT11,1,84/3795,5,1,0.23280647285727726,5.301046426564604e-05,2011.0
Ziyu Guan,43/6970,conf/sigmod/KhanLYGCT11,1,y/XifengYan,5,1,0.23280647285727726,5.301046426564604e-05,2011.0
Ziyu Guan,43/6970,conf/sigmod/KhanLYGCT11,1,14/7588,5,1,0.23280647285727726,5.301046426564604e-05,2011.0
Ziyu Guan,43/6970,conf/sigmod/KhanLYGCT11,1,64/4055,5,1,0.23280647285727726,5.301046426564604e-05,2011.0
Ziyu Guan,43/6970,conf/sigmod/KhanLYGCT11,1,67/2933,5,1,0.23280647285727726,5.301046426564604e-05,2011.0
Supriyo Chakraborty,14/7588,conf/sigmod/KhanLYGCT11,1,84/3795,5,1,0.23280647285727726,5.301046426564604e-05,2011.0
Supriyo Chakraborty,14/7588,conf/sigmod/KhanLYGCT11,1,y/XifengYan,5,1,0.23280647285727726,5.301046426564604e-05,2011.0
Supriyo Chakraborty,14/7588,conf/sigmod/KhanLYGCT11,1,43/6970,5,1,0.23280647285727726,5.301046426564604e-05,2011.0
Supriyo Chakraborty,14/7588,conf/sigmod/KhanLYGCT11,1,64/4055,5,1,0.23280647285727726,5.301046426564604e-05,2011.0
Supriyo Chakraborty,14/7588,conf/sigmod/KhanLYGCT11,1,67/2933,5,1,0.23280647285727726,5.301046426564604e-05,2011.0
Shu Tao,64/4055,conf/sigmod/KhanLYGCT11,1,84/3795,8,1,0.23281194872397978,8.481674282503366e-05,2011.0
Shu Tao,64/4055,conf/sigmod/KhanLYGCT11,1,43/6970,8,1,0.23281194872397978,8.481674282503366e-05,2011.0
Shu Tao,64/4055,conf/sigmod/KhanLYGCT11,1,14/7588,8,1,0.23281194872397978,8.481674282503366e-05,2011.0
Xifeng Yan,y/XifengYan,conf/sigmod/KhanYW10,3,85/3566,44,1,0.24140874612814323,0.00046649208553768516,2010.0
Kun-Lung Wu,85/3566,conf/sigmod/KhanYW10,1,y/XifengYan,2,1,0.22534890604011565,2.1204185706258414e-05,2010.0
Kun-Lung Wu,85/3566,conf/sigmod/KhanYW10,1,67/2933,2,1,0.22534890604011565,2.1204185706258414e-05,2010.0
Lei Feng,76/847,journals/corr/abs-2102-06879,2,256/5052,72,1,0.27880119429891276,0.000763350685425303,2021.0
Lei Feng,76/847,journals/corr/abs-2102-06879,2,273019,72,1,0.27880119429891276,0.000763350685425303,2021.0
Lei Feng,76/847,journals/corr/abs-2012-00925,2,26/3367-1,72,6,0.27880119429891276,0.000763350685425303,2020.0
Lei Feng,76/847,journals/corr/abs-2010-01875,2,35/1228,72,5,0.27880119429891276,0.000763350685425303,2020.0
Lei Feng,76/847,conf/ijcai/FengA18,2,42/6178-1,72,17,0.27880119429891276,0.000763350685425303,2018.0
Gang Niu 0001,26/3367-1,journals/corr/abs-2102-06879,1,256/5052,37,1,0.2609956755616496,0.00039227743556578067,2021.0
Gang Niu 0001,26/3367-1,journals/corr/abs-2012-00925,1,76/847,37,6,0.2609956755616496,0.00039227743556578067,2020.0
Gang Niu 0001,26/3367-1,journals/corr/abs-2102-06879,1,273019,37,1,0.2609956755616496,0.00039227743556578067,2021.0
Gang Niu 0001,26/3367-1,journals/corr/abs-2010-01875,1,35/1228,37,5,0.2609956755616496,0.00039227743556578067,2020.0
Gang Niu 0001,26/3367-1,journals/corr/abs-2012-00925,1,42/6178-1,37,6,0.2609956755616496,0.00039227743556578067,2020.0
Masashi Sugiyama,35/1228,journals/corr/abs-2102-06879,1,256/5052,32,1,0.2686534755584507,0.00033926697130013463,2021.0
Masashi Sugiyama,35/1228,journals/corr/abs-2010-01875,1,76/847,32,5,0.2686534755584507,0.00033926697130013463,2020.0
Masashi Sugiyama,35/1228,journals/corr/abs-2102-06879,1,273019,32,1,0.2686534755584507,0.00033926697130013463,2021.0
Masashi Sugiyama,35/1228,journals/corr/abs-2010-01875,1,26/3367-1,32,5,0.2686534755584507,0.00033926697130013463,2020.0
Masashi Sugiyama,35/1228,journals/corr/abs-2010-01875,1,42/6178-1,32,5,0.2686534755584507,0.00033926697130013463,2020.0
Hongxin Wei,150/6350,journals/corr/abs-2012-05273,1,76/847,13,3,0.2560865178132519,0.0001378272070906797,2020.0
Hongxin Wei,150/6350,journals/corr/abs-2003-02752,1,84/7543,13,2,0.2560865178132519,0.0001378272070906797,2020.0
Hongxin Wei,150/6350,journals/corr/abs-2012-12620,1,42/6178-1,13,4,0.2560865178132519,0.0001378272070906797,2020.0
Lei Feng,76/847,journals/corr/abs-2012-05273,2,150/6350,72,3,0.27880119429891276,0.000763350685425303,2020.0
Lei Feng,76/847,journals/corr/abs-2003-02752,2,84/7543,72,2,0.27880119429891276,0.000763350685425303,2020.0
Xiangyu Chen,84/7543,journals/corr/abs-2003-02752,1,150/6350,14,2,0.2767819691843069,0.0001484292999438089,2020.0
Xiangyu Chen,84/7543,journals/corr/abs-2003-02752,1,76/847,14,2,0.2767819691843069,0.0001484292999438089,2020.0
Xiangyu Chen,84/7543,journals/corr/abs-2003-02752,1,42/6178-1,14,2,0.2767819691843069,0.0001484292999438089,2020.0
Lei Feng,76/847,conf/icml/FengK000S20,2,236/4441,72,1,0.27880119429891276,0.000763350685425303,2020.0
Lei Feng,76/847,journals/corr/abs-2012-00925,2,241/0472-3,72,5,0.27880119429891276,0.000763350685425303,2020.0
Bo Han 0003,241/0472-3,journals/corr/abs-2012-00925,1,76/847,32,5,0.26098191214470284,0.00033926697130013463,2020.0
Bo Han 0003,241/0472-3,conf/icml/FengK000S20,1,236/4441,32,1,0.26098191214470284,0.00033926697130013463,2020.0
Bo Han 0003,241/0472-3,journals/corr/abs-2012-00925,1,26/3367-1,32,5,0.26098191214470284,0.00033926697130013463,2020.0
Bo Han 0003,241/0472-3,journals/corr/abs-2010-01875,1,35/1228,32,4,0.26098191214470284,0.00033926697130013463,2020.0
Bo Han 0003,241/0472-3,journals/corr/abs-2012-00925,1,42/6178-1,32,5,0.26098191214470284,0.00033926697130013463,2020.0
Gang Niu 0001,26/3367-1,conf/icml/FengK000S20,1,236/4441,37,1,0.2609956755616496,0.00039227743556578067,2020.0
Gang Niu 0001,26/3367-1,journals/corr/abs-2012-00925,1,241/0472-3,37,5,0.2609956755616496,0.00039227743556578067,2020.0
Masashi Sugiyama,35/1228,conf/icml/FengK000S20,1,236/4441,32,1,0.2686534755584507,0.00033926697130013463,2020.0
Masashi Sugiyama,35/1228,journals/corr/abs-2010-01875,1,241/0472-3,32,4,0.2686534755584507,0.00033926697130013463,2020.0
Lei Feng,76/847,journals/corr/abs-2010-01875,2,257/5650,72,2,0.27880119429891276,0.000763350685425303,2020.0
Lei Feng,76/847,conf/bigdataconf/LinFKX19,2,259/6990,72,4,0.27880119429891276,0.000763350685425303,2019.0
Lei Feng,76/847,conf/ijcai/FengSLL0020,2,146/6418,72,1,0.27880119429891276,0.000763350685425303,2020.0
Lei Feng,76/847,conf/ijcai/FengSLL0020,2,53/2189-6,72,1,0.27880119429891276,0.000763350685425303,2020.0
